osm_id,code,fclass,name,X,Y
277420424,5201,traffic_signals, ,77.322737300000000,28.580274700000000
283639498,5201,traffic_signals, ,77.374365900000001,28.627852300000001
283639499,5201,traffic_signals, ,77.374165000000005,28.623895399999999
292744151,5201,traffic_signals, ,82.986704700000004,25.324903599999999
300136191,5201,traffic_signals, ,77.343956500000004,28.582416200000001
301037164,5201,traffic_signals,Mamura Chowk,77.372777799999994,28.609915000000001
301037167,5201,traffic_signals,Mamura Chowk,77.372810099999995,28.610005800000000
301037169,5201,traffic_signals, ,77.374346700000004,28.623906399999999
301037170,5201,traffic_signals,Mamura Chowk,77.372974099999993,28.609903500000001
301037171,5201,traffic_signals,Mamura Chowk,77.372982399999998,28.609995500000000
301037174,5201,traffic_signals, ,77.374535300000005,28.627847400000000
301037177,5201,traffic_signals, ,77.315093599999997,28.580759100000002
307369677,5201,traffic_signals, ,77.373541799999998,28.617675800000001
307369679,5201,traffic_signals, ,77.373792800000004,28.617978699999998
307369681,5201,traffic_signals, ,77.373482199999998,28.617929400000001
307370003,5201,traffic_signals, ,77.439467399999998,28.651741699999999
308896638,5201,traffic_signals, ,77.344175000000007,28.571391200000001
352911756,5201,traffic_signals, ,77.734098599999996,29.277568599999999
457278261,5201,traffic_signals, ,77.456042100000005,28.665199999999999
496457063,5201,traffic_signals, ,77.312187100000003,28.569408599999999
746434139,5201,traffic_signals, ,77.774396100000004,28.730306500000001
833271074,5201,traffic_signals, ,77.344078800000005,28.571324199999999
836074211,5201,traffic_signals, ,77.322868099999994,28.573978499999999
836074232,5201,traffic_signals, ,77.318883700000001,28.577065600000001
836074234,5201,traffic_signals, ,77.323134100000004,28.573556000000000
836074249,5201,traffic_signals, ,77.318578400000007,28.577560600000002
836083113,5201,traffic_signals, ,77.323195400000003,28.573835200000001
836083136,5201,traffic_signals, ,77.322788599999996,28.573653100000001
841515946,5201,traffic_signals, ,77.322366700000003,28.580308500000001
841516325,5201,traffic_signals, ,77.322310200000004,28.580114399999999
841773686,5201,traffic_signals, ,77.336611099999999,28.590418600000000
841773698,5201,traffic_signals, ,77.315124800000007,28.580944800000001
841773726,5201,traffic_signals, ,77.326490800000002,28.583125500000001
841773741,5201,traffic_signals, ,77.326814999999996,28.582997200000001
841773770,5201,traffic_signals, ,77.332400000000007,28.587326399999998
841773796,5201,traffic_signals, ,77.341107100000002,28.593767799999998
841773839,5201,traffic_signals, ,77.340757600000003,28.593678799999999
841773849,5201,traffic_signals, ,77.332050300000006,28.587207700000000
841773856,5201,traffic_signals, ,77.336196500000000,28.590279899999999
841773875,5201,traffic_signals, ,77.336276600000005,28.590528400000000
841773881,5201,traffic_signals, ,77.314989800000006,28.580846500000000
841773908,5201,traffic_signals, ,77.326914700000003,28.583276800000000
841773944,5201,traffic_signals, ,77.326563300000004,28.583314699999999
841773998,5201,traffic_signals, ,77.315217700000005,28.580853000000001
841774021,5201,traffic_signals, ,77.332333899999995,28.587128400000001
841774031,5201,traffic_signals, ,77.340982600000004,28.593583700000000
841774093,5201,traffic_signals, ,77.336481699999993,28.590186899999999
843324383,5201,traffic_signals, ,77.344014200000004,28.599154100000000
843324437,5201,traffic_signals, ,77.344154300000000,28.598855600000000
843324602,5201,traffic_signals, ,77.344393499999995,28.599020800000002
847791372,5201,traffic_signals, ,77.331688299999996,28.595260100000001
847791376,5201,traffic_signals, ,77.331559100000007,28.595509199999999
847791401,5201,traffic_signals, ,77.331777099999996,28.595427399999998
847791420,5201,traffic_signals, ,77.329266700000005,28.598023900000001
847791439,5201,traffic_signals, ,77.329174499999993,28.597763100000002
847791449,5201,traffic_signals, ,77.329437700000000,28.597708500000000
848554102,5201,traffic_signals, ,77.316016700000006,28.589016600000001
848554105,5201,traffic_signals, ,77.316162399999996,28.588985000000001
848554142,5201,traffic_signals, ,77.316083699999993,28.588927300000002
848554147,5201,traffic_signals, ,77.316109299999994,28.589080800000001
849943357,5201,traffic_signals, ,77.310971699999996,28.586185000000000
849943473,5201,traffic_signals, ,77.310860700000006,28.586122000000000
849943546,5201,traffic_signals, ,77.311040800000001,28.586085900000000
849943586,5201,traffic_signals, ,77.310929400000006,28.586022799999999
855723413,5201,traffic_signals, ,77.331344799999997,28.646038500000000
855723502,5201,traffic_signals, ,77.350230699999997,28.657207100000001
855723541,5201,traffic_signals, ,77.341660700000006,28.651687100000000
855723555,5201,traffic_signals, ,77.331194400000001,28.645894400000000
855723662,5201,traffic_signals, ,77.341310899999996,28.651780299999999
855723733,5201,traffic_signals, ,77.334707499999993,28.647561400000001
855723895,5201,traffic_signals, ,77.334325699999994,28.647659699999998
855723896,5201,traffic_signals, ,77.331598900000003,28.645952099999999
855723995,5201,traffic_signals, ,77.334856799999997,28.647834199999998
855724057,5201,traffic_signals, ,77.341813599999995,28.651957400000001
877248692,5201,traffic_signals, ,77.350542899999994,28.657277100000002
877248906,5201,traffic_signals, ,77.350470099999995,28.657142799999999
1014423106,5201,traffic_signals, ,77.775875600000006,28.730563199999999
1014424780,5201,traffic_signals, ,77.775931200000002,28.730468599999998
1680194693,5201,traffic_signals, ,77.425572900000006,28.669295099999999
1820903920,5201,traffic_signals, ,77.332952800000001,28.593914600000002
1820903922,5201,traffic_signals, ,77.332796400000007,28.593991800000001
1820903923,5201,traffic_signals, ,77.333009000000004,28.594012400000000
1820903925,5201,traffic_signals, ,77.332876299999995,28.594111999999999
1985694288,5201,traffic_signals, ,80.995825800000006,26.872729799999998
1985694294,5201,traffic_signals, ,80.995241800000002,26.873089300000000
